Year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Georgia,0,0,"14,107","32,312","58,877","54,576","47,563","29,495","62,027","31,819","46,456","37,750","31,052","45,164","76,365","68,884","35,376","37,988","67,691","75,300","90,347","117,757","119,605","100,287","94,872","66,452"
Kenya,"14,509","8,082","48,173","44,725","58,988","34,099","10,482","31,755","60,714","28,703","27,485","19,314","43,145","33,166","36,944","31,367","77,425","77,249","94,088","153,698","79,104","94,749","80,926","80,096","67,992","66,255"
Djibouti,"2,705","1,669","2,007","2,034","2,243","3,078","2,245","1,568","5,354","12,426","1,679","1,614","43,219","10,118","25,070","25,378","16,365","24,565","97,092","102,402","68,563","84,249","69,676","102,171","39,734","65,092"
Oman,"7,581","10,948","11,029","9,687","11,990","14,008","13,560","11,521","17,724","18,141","12,533","16,529","16,732","13,495","20,439","12,630","13,318","25,313","76,778","35,889","44,283","87,802","68,715","56,782","60,316","63,544"
Sudan(*),"13,332","52,896","13,516","30,294","38,216","10,474","15,869","11,041","6,495","8,399","17,329","16,273","9,551","25,164","61,708","96,908","71,621","73,643","134,982","66,547","95,612","62,976","49,502","55,969","84,734","63,482"
Bahrain,"7,295","15,965","13,545","22,761","21,286","22,334","18,423","9,198","22,252","26,799","12,459","29,833","28,610","16,708","18,811","14,799","15,775","18,352","56,475","31,695","43,778","52,827","62,898","77,671","74,027","60,365"
Cayman Islands,"15,876","11,226","9,748","10,832","15,838","14,209","19,724","35,042","43,006","36,059","37,358","31,687","28,522","29,488","30,507","36,227","46,799","56,745","61,511","50,561","52,608","49,838","54,431","61,625","65,493","59,970"
French Pacific Islands(*),"23,713","24,176","26,681","26,623","26,019","27,853","35,910","37,728","36,768","32,128","33,969","32,458","30,931","30,402","37,170","41,309","38,539","47,071","58,651","61,330","59,144","65,394","67,247","69,596","64,477","56,958"
Lithuania,0,0,"25,333","18,688","19,144","12,314","14,604","14,468","1,453","2,252","2,284","12,536","4,889","10,459","58,820","80,814","98,550","123,945","135,862","100,638","115,402","104,687","129,276","112,730","88,534","56,580"
Kazakhstan,0,0,"9,542","1,554","2,875",819,"1,296",273,"11,506","2,395",556,"6,698","7,768","13,935","11,904","26,662","36,120","22,979","30,469","16,215","25,330","48,533","124,444","79,640","57,191","54,291"
Belize,"16,688","17,849","19,583","17,393","17,987","14,960","15,389","15,606","17,161","16,220","20,544","21,206","19,480","23,460","22,435","23,600","25,128","31,352","36,227","37,804","37,888","44,862","44,766","47,373","45,816","51,632"
Suriname,"18,795","11,882","17,237","12,756","14,208","21,863","25,966","24,407","23,150","16,274","16,424","18,748","17,565","20,349","15,683","20,047","20,127","26,770","28,711","35,184","42,720","50,844","57,857","54,013","54,161","49,514"
Papua New Guinea,580,856,957,"1,720","1,517","7,242","3,576","5,529","3,555","2,234","1,209","1,175","2,382","1,288","2,581","17,047",525,"1,449","27,826","91,466","79,708","3,789","4,364","9,369","12,441","46,188"
Croatia,0,0,"16,994","16,211","49,077","32,397","19,231","27,628","19,368","2,714",713,"4,702","6,588","2,390","3,991","6,918","4,527","5,040","11,754","9,303","13,572","18,700","20,722","19,888","18,431","43,547"
Cambodia,0,0,0,432,541,"4,214","1,663","2,211",840,"1,976","5,230","9,287","4,135","4,762","8,651","5,281","3,262","7,164","6,102","6,345","10,939","12,550","19,707","25,654","26,689","41,034"
Ukraine,0,0,"165,663","137,404","63,249","37,899","44,366","29,519","16,332","23,418","6,487","18,441","13,528","16,605","121,487","101,467","108,432","210,959","282,826","146,093","138,956","90,244","135,040","201,808","88,993","39,635"
Burma,"5,829",582,592,91,"1,415",978,"1,744",618,339,960,553,"1,793","1,759","1,116","1,008",506,"1,076","2,027","2,731",451,"1,894","15,618","8,108","12,436","16,495","38,760"
Hungary,"34,515","13,473","11,677","10,552","11,346","13,394","9,483","25,107","18,250","19,587","17,454","23,229","26,749","29,114","25,181","22,417","26,157","28,946","26,888","28,084","22,968","19,445","24,071","38,599","49,637","37,137"
Congo (Brazzaville),"2,972","2,195","6,619",465,"6,247","6,048","6,853","5,219","7,816","9,429","16,254","14,312","4,251","13,205","8,246","10,404","6,711","20,384","25,785","22,106","43,280","54,304","59,329","50,414","51,272","36,437"
Paraguay,"6,513","10,663","13,081","17,630","23,701","28,069","33,199","31,234","9,538","9,684","9,055","4,723","2,979","1,613","3,057","2,661","3,685","8,057","18,368","13,397","26,869","39,640","51,891","43,000","39,839","34,940"
Benin,"11,071","9,135","12,647","6,467","7,576","9,882","1,847","5,143","6,473","2,391","3,893","4,445","5,169","3,961","5,847","4,449","5,500","3,416","6,482","15,256","8,816","6,421","16,773","28,339","41,950","33,409"
Bolivia,"22,172","35,252","41,061","29,559","31,596","27,865","40,287","30,724","28,839","19,836","13,457","15,384","19,380","30,844","23,318","17,793","22,033","28,690","24,211","10,981","20,053","27,911","28,576","39,066","44,621","33,328"
Afghanistan,0,18,25,"6,768",128,160,"8,416","2,390",297,"4,621","5,254","4,191",297,"14,401","21,829","39,654","38,950","57,116","75,222","52,619","81,279","63,088","45,075","27,204","31,359","32,760"
Tanzania,"2,084","2,558","2,452","4,213","16,854","12,993","4,730","13,261","7,728","16,544","3,760","9,897","11,656","12,520","9,384","7,281","17,709","24,129","31,388","31,590","23,349","66,340","13,551","39,441","42,550","31,773"
Gabon,"1,132","1,242",919,"1,364",934,696,389,580,"1,237","2,116","2,909","3,626","4,383","3,489","8,558","4,930","5,787","10,401","8,508","17,298","17,999","30,304","28,770","33,250","38,583","31,291"
Turks and Caicos Islands,"4,070","3,384","3,560","2,873","3,008","3,651","4,456","5,341","5,646","7,490","6,566","4,779","3,971","6,362","7,206","10,226","13,741","17,230","22,758","17,942","16,465","18,623","20,036","21,604","25,213","26,499"
Congo (Kinshasa),"29,531","15,417","7,830","9,981","10,484","30,965","24,269","13,653","9,819","3,259","1,713","6,430","6,585","10,215","30,806","27,695","28,300","57,082","40,125","24,646","33,173","47,376","79,598","39,648","55,163","25,971"
Cameroon,"17,362","13,316","22,072","21,557","11,138","3,956","3,272","12,317","6,360","6,278","4,961","1,440","4,065","10,304","7,611","6,141","5,063","3,960","9,534","21,573","25,948","18,160","15,884","30,594","22,275","24,997"
Czech Republic,0,0,0,"15,688","15,400","18,505","13,002","15,821","9,487","7,684","7,802","9,922","12,912","15,523","28,319","41,505","31,902","45,196","31,489","28,984","29,312","29,514","26,954","26,087","29,447","24,273"
Liberia,"18,104","37,088","14,530","32,305","36,086","29,990","36,895","17,734","13,050","16,076","12,593","8,961","9,311","12,028","14,480","18,257","19,456","17,702","18,251","16,898","25,453","50,469","51,639","24,393","16,997","24,134"
Austria,"31,511","36,577","37,214","32,235","42,087","24,300","28,575","26,849","22,288","14,635","17,326","15,890","13,328","18,408","32,017","35,139","42,294","82,168","99,704","38,156","24,738","31,343","43,298","50,011","29,032","23,971"
Iceland,"9,580","9,730","11,528","11,457","11,343","15,368","18,370","15,951","19,226","30,166","18,867","19,921","14,096","15,117","13,505","17,472","17,963","19,410","21,891","16,210","16,519","17,883","18,099","22,205","21,825","22,862"
Sierra Leone,"7,395","7,074","14,023","8,135","9,649","9,898","15,123","9,307","15,586","4,758","5,584","13,921","13,196","9,047","13,024","11,460","10,499","14,217","12,190","6,695","15,563","25,089","29,896","17,404","18,925","22,740"
Latvia,0,0,"25,986","11,809","5,247","9,678","91,545","118,565","110,439","145,782","76,787","42,114","30,840","33,822","18,042","24,321","24,707","46,461","75,545","72,499","74,895","91,472","87,817","50,885","68,158","21,708"
Micronesia,"9,951","13,057","13,249","11,641","10,704","10,094","11,535","12,586","14,472","9,340","10,503","10,436","10,703","10,647","9,882","8,745","9,044","10,213","14,065","17,375","18,107","18,073","16,294","17,579","20,066","20,862"
Mauritania,"4,236","3,832","2,593","4,113","1,242","1,337",682,"2,520","1,755",850,"1,886","2,216","1,418","5,547","4,906","11,129","1,696","4,909","8,335","2,742","7,786","9,377","13,727","26,809","19,254","20,807"
"Other Pacific Islands, NEC(*)","4,943","4,869","4,430","4,574","5,897","5,930","7,629","7,073","8,666","5,425","5,823","5,261","3,346","4,614","4,837","7,874","7,571","9,317","17,593","11,737","16,471","19,656","20,226","23,053","23,042","19,956"
"Gambia, The","1,589","2,084","2,245","2,422",932,"2,224","1,646","2,302","1,876","2,081","2,913","2,827","3,287","4,792","5,022","3,109","3,907","5,312","7,185","10,171","12,990","15,553","15,366","18,900","20,307","18,713"
Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,361","7,815","7,447","9,677","14,355","13,364","18,399"
Estonia,0,0,"32,558","29,867","8,983","73,796","27,038","26,219","57,651","133,125","45,743","14,793","8,057","16,491","14,108","11,321","9,704","16,521","23,994","18,832","10,799","8,579","8,190","13,820","19,100","17,723"
Bulgaria,"8,052","34,724","5,622","26,225","5,536","9,854","30,163","5,785","10,417","9,328","6,879","14,969","13,399","13,546","10,751","19,433","16,506","21,558","54,518","14,879","11,749","23,104","24,689","29,236","35,066","16,641"
Togo,"8,331","8,226","7,735","6,421","2,627","4,618","4,655","3,044",306,"2,993",380,753,"2,979",300,"2,886","5,758","3,233","5,821","4,834","12,344","12,076","12,901","6,557","7,578","20,165","15,595"
Samoa,"1,650","2,403","2,664","3,637","3,905","3,264","4,960","4,008","3,933","3,905","4,344","4,334","3,439","4,030","5,284","7,226","6,644","8,940","8,253","9,470","12,314","15,162","15,060","14,700","13,709","13,959"
Somalia,"4,487","3,850","19,629","26,582","15,609","5,903","2,871",599,"1,739","1,936","1,776","3,193","1,609","4,001","6,770","5,253","14,527","17,707","60,596","2,592",0,"4,251","9,729","5,855","9,019","13,921"
Marshall Islands,"10,603","10,737","13,367","13,105","12,261","9,637","7,881","8,040","10,007","5,592","7,840","7,672","8,182","7,028","5,927","6,761","6,137","7,105","7,819","8,502","8,233","9,128","11,625","12,120","14,095","13,205"
Senegal,"16,625","24,453","20,827","38,314","12,319","12,207","6,836","7,274","15,586","3,825","6,031","6,345","6,677","9,574","12,470","9,084","9,823","25,009","35,604","7,690","26,709","13,502","3,715","19,256","21,829","11,874"
Palau,"2,997","4,350","4,098","4,312","3,483","2,872","4,656","7,098","6,674","6,661","9,029","7,604","6,132","6,418","5,639","6,043","5,892","7,411","8,129","8,257","7,768","8,933","8,866","8,922","10,605","11,698"
Equatorial Guinea,0,"2,256","2,391",0,17,0,0,84,486,589,297,"1,171",973,"1,060",534,620,"2,054","3,071","1,549","2,431","3,848","9,442","9,249","13,072","12,852","10,805"
Mozambique,"30,627","21,879","69,547","44,341","19,421","28,350","9,934","26,365","28,766","18,333","30,427","14,996","60,957","38,838","50,102","15,215","19,443","28,034","50,221","42,454","44,593","72,517","50,652","34,229","19,295","9,893"
Albania,"1,214","9,122","25,187","28,828","13,782","6,643","7,890","1,508","9,991","7,340","8,260","8,421","9,119","2,053","4,513","4,906","1,489","2,660","11,642","13,799","19,351","21,688","29,782","28,447","17,151","9,041"
Namibia,167,145,"2,340","11,030",705,"4,631","4,883",920,74,67,"2,389","4,618","5,535","5,443","11,122","5,452","8,485","6,741","6,589","1,574","2,600","17,663","10,220","8,938","2,843","8,937"
Guinea,"4,687","11,446","13,297","14,732","12,892","15,356","12,020","10,276","5,209","7,851","6,700","7,498","9,112","6,777","15,288","11,327","8,479","13,038","9,731","10,239","7,382","10,370","5,864","7,562","8,211","8,046"
Cyprus,"38,868","30,734","42,210","43,416","31,089","43,605","37,341","37,166","10,815","20,533","18,471","21,060","22,239","17,986","18,718","6,368","8,963","10,537","13,501","8,911","9,227","11,155","7,418","8,641","9,203","7,972"
Cote d'Ivoire,"32,823","26,371","25,842","25,387","23,126","36,679","20,252","18,645","6,403","16,961","12,156","12,030","12,578","22,608","29,422","13,097","17,361","8,755","15,117","18,681","7,753","11,689","19,746","17,494","21,046","7,782"
Azerbaijan,0,0,0,47,"14,257","12,091","5,510","5,817","9,106","12,289","2,962","1,832","9,149","22,584","40,873","19,945","2,183","6,929","16,199","7,360","11,759","18,419","37,860","25,777","23,730","7,245"
Turkmenistan,0,0,16,"15,295","22,471","10,579","12,377",0,278,"2,813","3,134","1,559","2,029","1,729",955,5,634,155,"4,343","5,131","1,556",534,"8,023","23,784","19,426","6,724"
Burkina Faso,"4,073","16,422","5,621","8,860","2,279","6,291","3,187","7,274","8,717","5,775","5,262","1,286","7,212","2,927","5,385","8,041","9,253","10,616","7,166","5,378","4,666","4,501","12,701","8,970","9,365","6,706"
Bosnia and Herzegovina,0,0,"1,429","18,142","36,036","21,960","30,494","31,118","22,722","7,361","12,233","19,416","10,558",332,"7,471","1,150",453,848,"2,056","1,215","2,051","3,715","3,704","4,282","2,255","6,402"
French West Indies(*),"10,242","10,968","10,678","9,590","9,239","9,894","8,187","7,793","6,590","8,094","6,242","5,644","3,349","3,822","2,818","3,625","8,187","6,261","8,671","9,175","8,718","9,826","6,353","7,065","6,919","5,965"
Mali,"1,956","8,971","1,606",348,489,154,91,"2,667","1,777",956,283,"1,601","1,511","1,532","2,885",719,"11,244","6,302","2,039","8,412","7,420","2,506","10,664","8,738","2,619","5,914"
Mongolia,0,"3,621",61,"14,172","3,001",63,392,"2,152","5,068","1,824","5,400",240,158,161,"12,203","4,258","1,244","6,730","2,731","7,426","6,619","8,911","13,327","14,230","12,894","5,815"
Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,272","3,690","6,873","9,177","7,858","7,413","5,686"
Macau,84,696,979,865,579,"1,002",468,"1,319","1,539","1,576","1,296",991,"1,119","2,100","2,044","1,427","8,315","6,919","7,253","6,007","14,407","16,840","7,407","5,196","4,951","5,266"
Tajikistan,0,0,"8,165","9,738","10,749","13,528","11,678","15,530","9,793","10,186","9,522","19,760","10,156","16,294","11,570","8,547","6,331","9,706","5,525","5,318","11,784","7,921","4,390","7,896","6,528","5,011"
Niger,"3,225","4,052","2,570","2,154",608,"1,770",650,"1,940","1,954",432,"2,320","4,889","8,706","4,761","2,718","8,831","12,380","13,047","4,576","13,362","23,045","18,939","14,270","5,173","7,530","4,882"
Brunei,181,213,"1,543","1,960","3,907","1,156","1,138","2,053",890,"1,018","1,610","1,878","3,605","1,610","1,274","2,846","1,889","2,144","3,230","3,859","4,011","4,971","5,347","5,678","5,440","4,809"
Swaziland,347,372,470,"1,039","1,655","2,083",208,978,"1,717",818,686,"1,232",994,"2,559","3,184","3,710","3,810","3,848","2,906","2,891","5,091","2,191","6,438","6,629","8,850","4,595"
Madagascar,"4,047","7,549","2,382","3,664","2,233","2,860","1,675","4,664","5,595","1,565","4,839","4,741","7,513","7,132","11,070","10,157","11,658","11,909","9,674","3,492","13,937","12,282","11,116","4,392",285,"4,185"
Armenia,0,0,"19,812","48,624","50,280","41,778","41,803","21,764","22,852","10,936","8,208","7,367","7,591","7,552","3,556","3,371","2,091","8,579","10,777","4,955","7,484","11,898","10,163","16,322","12,917","4,146"
Zimbabwe,"3,409",691,"87,751","26,377","3,565","9,359",832,"1,073","4,213","8,921","3,987",359,"16,659","11,447","19,669","16,549","18,971","66,460","40,056","37,270","8,087","12,470","4,988",789,"4,687","4,079"
Malta,"6,055","11,422","10,897","4,083","6,176","10,196","20,006","8,137","6,855","11,269","10,425","9,376","12,472","9,793","3,553","6,148","7,152","7,940","5,282","4,661","2,485","3,799","2,818","4,247","5,278","4,032"
Slovenia,0,0,"7,131","23,892","11,069","13,003","17,117","28,055","19,278","10,193","6,335","2,938","6,309","6,931","8,674","9,471","6,114","11,516","6,179","2,334","10,563","3,455","2,696","2,993","3,124","3,819"
Malawi,"5,996","8,290","1,962","16,084","3,595","7,583",325,22,30,124,"2,020",578,"12,426","4,381","10,830","7,710","13,595","17,810","13,120","13,821","10,129","18,543","13,608","8,465",719,"3,667"
Burundi,0,8,0,161,"15,376",483,0,0,"3,181",400,86,"2,650",20,"1,627","9,231","3,771","3,889","4,245","5,008","5,804","4,441","10,367","6,289","3,339",988,"3,586"
Slovakia,0,0,0,297,791,"1,572","1,136","1,780","1,519","1,686","1,129","1,182",976,"1,022","2,116","2,792","3,794","3,154","21,538","3,205","4,768","4,388","5,083","4,640","4,125","3,507"
Uganda,"10,711","4,196","5,149","8,599","6,713","5,289","3,741","16,664","11,407","6,904","6,224","8,996","5,133","11,172","31,929","28,652","16,380","31,037","17,916","13,311","9,571","14,705","10,228","1,526","4,046","3,341"
"Uzbekistan, Republic of",0,0,"48,620","55,407","62,316",132,"81,436",424,400,"6,471",799,"26,565","42,552","21,359","10,279",852,297,462,"1,837","1,779",669,"1,542","1,029","5,410","3,480","3,289"
"Africa, not elsewhere specified(*)","5,530","3,464","2,414","3,649","2,441","5,503","5,207","7,344","6,096","3,593","1,870","1,364","2,924","3,628","2,086","5,031","4,105","2,934","1,353",733,"5,829","14,252","6,087","8,656","3,808","3,115"
Chad,"1,050","5,362",392,"1,228",930,823,"1,980","1,956",0,"1,188","2,614","2,589","1,757","1,355","4,830","6,781","11,061","8,285","10,085","3,494","9,902","18,053","11,833","2,235","7,117","2,935"
Kyrgyzstan,0,0,0,"15,580","3,142","14,048","16,744","11,471","9,431","8,143","9,877","4,070","4,606",731,"2,871",461,468,"2,821","4,624","14,298","18,268","10,387","23,445","17,701","5,786","2,610"
Mauritius,805,519,361,893,465,434,494,435,691,390,990,253,501,437,"1,256","1,027",892,"10,489","12,509","1,162","1,314","4,411","2,277","3,122","2,141","2,590"
Macedonia,0,0,184,"3,249","3,434","6,231","2,634","7,864","2,857","10,471","23,254","8,125","7,216","7,060","7,289","5,761","3,454","7,390","5,281","4,941","7,432",158,"1,374","1,206","2,361","2,588"
Moldova,0,0,"8,145","28,194","19,749","5,009","12,497","3,757","6,046","3,139","1,997","19,722","14,693","14,734","29,831","24,095","12,747","32,848","38,881","11,987","20,671","13,543","20,290","15,975","7,403","2,104"
Belarus,0,0,"20,925","69,535","21,489","15,046","10,842","1,403",315,110,201,48,479,294,557,129,550,"2,685","2,258","17,912","1,994","1,120","2,524","1,690","4,587","1,625"
Syria,"33,765","38,438","28,479","23,051","21,939","69,108","49,474","62,375","47,467","55,217","85,560","84,568","110,277","77,692","135,448","142,784","210,693","348,125","392,795","290,128","483,758","213,175","15,253","16,472","2,306","1,499"
French Guiana,"1,090","1,032","1,171",916,"1,089",983,855,"1,266","1,189",914,594,442,554,450,578,732,814,579,"1,159","1,252","1,044","1,243","1,240","1,802","1,395","1,400"
French Ind. Ocean Territory(*),71,139,153,106,605,99,137,68,932,35,48,447,450,182,389,258,608,109,305,388,533,30,183,331,"1,542","1,303"
Mayotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,0,150,"2,642",384,"7,614","1,966","1,393","1,268"
Laos,0,0,0,11,96,0,65,14,0,0,128,333,"1,417",878,520,367,128,605,898,489,971,"2,460","1,126","1,779","2,256","1,136"
Nepal,"3,135","1,097",488,"1,171",298,359,833,159,702,938,727,"1,713","2,872",684,"2,630","1,669","4,932","4,397","3,069","3,231","3,705","10,068","4,254","1,620","2,673","1,034"
British Pacific Islands(*),"2,882","1,165","1,978",333,189,368,234,569,678,192,982,"2,017","2,584","1,139","1,372","2,203",300,338,748,808,878,"2,249","2,228","2,288","1,725",897
Timor-Leste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455,739,818,"1,594",491,74,0,"6,490",24,171,23,868
Seychelles,71,148,140,91,147,178,706,649,90,258,179,207,219,293,"6,735",568,384,762,627,27,44,447,476,941,986,839
Zambia,"2,684",332,"43,927","11,175","1,954","2,814",428,260,"1,214",500,485,768,"14,104","1,649","3,932","5,839","11,450","4,442","4,350",978,634,"1,678","2,363","1,010",649,804
Southern Asia NEC(*),410,149,728,61,11,89,30,91,93,151,196,385,369,249,665,537,"1,065","1,486","1,222","1,593","1,979","2,262","2,730","1,815","1,716",709
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,737,"5,819","5,522","1,982","2,357","2,522","3,175","3,798",702
Central African Republic,496,308,278,703,29,0,6,652,97,260,0,27,"1,875","2,110","3,644",268,"2,575","6,986","2,710","3,678",354,"1,800","1,247",260,767,701
"Korea, North",30,0,0,0,0,"10,820",36,"1,558","4,044","7,039","2,319",0,"23,893","6,406","23,560","5,657",0,"1,728","51,883",46,"1,773",359,521,286,"2,059",682
Comoros,27,0,472,0,0,555,0,0,18,41,0,17,0,0,18,36,0,0,36,50,274,576,629,993,629,348
Gibraltar,188,289,132,148,98,210,126,363,124,512,42,22,14,19,17,11,25,121,8,141,17,0,8,64,379,211
Botswana,372,18,"1,932",539,916,"3,835","1,420","3,092",674,"1,345","1,301","1,022",20,8,69,13,81,176,66,288,305,114,550,537,463,72
British Indian Ocean Territory,0,0,100,47,17,0,115,123,79,101,85,38,0,63,104,48,93,48,35,0,0,15,6,32,9,67
Saint Helena,0,0,0,0,0,4,4,0,0,22,94,55,81,18,197,561,105,155,213,13,23,17,28,81,104,65
Eritrea,0,0,0,264,"5,919","3,310","7,622","3,859","14,469",0,"12,091","14,447","23,010","37,663","43,625","24,683","4,996",0,"5,672","3,940",0,0,0,0,0,50
Lesotho,"1,380","1,662","1,781","5,880","2,709","1,496","1,939","1,119","1,233",59,492,30,614,"2,631","3,818","3,557","2,246","5,238",18,185,3,"6,775","13,615",53,0,31
Greenland,0,0,0,22,35,5,123,19,111,13,0,0,"1,884",29,587,"1,337",29,31,70,5,0,0,22,0,56,26
Western Sahara,0,0,0,8,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,22
Rwanda,42,0,4,"7,740","30,468","32,188","33,443","26,672","10,014","17,796","10,186","8,407","7,681","5,657","7,207","5,464","7,812","8,203","6,534","2,543",790,"4,122",634,140,50,20
Falkland Islands (Islas Malvinas),90,0,0,0,0,0,0,0,0,0,0,35,0,5,0,3,0,27,53,163,92,9,187,46,16,6
Czechoslovakia,"22,616","18,994","19,624",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serbia and Kosovo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,468","15,937",0,0,0,0,0,0,0
Saint Pierre and Miquelon,0,0,0,22,0,0,0,775,293,16,43,0,337,15,0,89,4,34,12,49,0,0,0,0,0,0
Union of Soviet Socialist Republics,"2,247,947","2,452,267","748,126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unidentified Countries,"221,613","166,113","298,617","277,040","247,893","564,821","627,178","340,889","323,480","371,370","306,048","262,066","186,969","185,711","223,997","216,263","124,385","441,209","182,997","233,739","375,898","225,388","175,000","179,871",102,0
Yugoslavia,"161,329","43,492","25,761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Serbia, Montenegro, and Kosovo",0,0,"2,500",367,35,12,"13,132",845,"10,492","12,649","14,808","25,252","8,868","1,685","4,356","5,083","9,139",0,0,0,0,0,0,0,0,0
Grand Total,"39,494,522","39,386,035","43,246,616","42,972,089","46,171,561","56,205,844","60,417,981","57,148,576","51,811,561","48,389,345","51,265,451","53,678,896","53,144,222","59,392,688","61,418,080","63,182,347","70,950,379","89,991,788","114,761,407","98,453,933","115,820,102","136,444,449","141,550,211","144,359,309","150,014,539","133,006,625"